129,D2,2018-12-01,St Pauli,Dresden,1,1,D,0,0,D,9,10,5,3,12,10,1,3,2,2,0,0,,0
130,D2,2018-12-01,Union Berlin,Darmstadt,3,1,H,2,0,H,16,8,3,3,12,12,8,2,0,1,0,0,,0
131,D2,2018-12-01,FC Koln,Greuther Furth,4,0,H,1,0,H,18,7,10,3,4,11,11,6,0,3,0,1,,0
135,D2,2018-12-07,Regensburg,FC Koln,1,3,A,0,2,A,18,14,5,6,19,9,9,2,3,4,1,0,,0
136,D2,2018-12-07,Hamburg,Paderborn,1,0,H,1,0,H,10,11,4,2,9,16,4,2,2,3,0,0,,0
140,D2,2018-12-09,Magdeburg,Union Berlin,1,1,D,1,0,H,11,11,5,2,10,22,4,2,2,4,0,0,,0
141,D2,2018-12-09,Bielefeld,Sandhausen,1,1,D,0,0,D,14,3,5,2,15,17,7,1,2,3,0,0,,0
142,D2,2018-12-09,Dresden,Holstein Kiel,0,2,A,0,2,A,16,9,8,5,11,9,5,1,1,1,0,0,,0
144,D2,2018-12-14,Holstein Kiel,Bielefeld,1,2,A,0,1,A,11,20,2,9,13,11,6,8,2,0,0,0,,0
145,D2,2018-12-14,Duisburg,Hamburg,1,2,A,1,2,A,14,10,2,5,15,17,2,2,4,1,1,0,,0
146,D2,2018-12-15,St Pauli,Greuther Furth,2,0,H,1,0,H,15,11,3,2,13,13,8,12,1,3,0,0,,0
147,D2,2018-12-15,Union Berlin,Bochum,2,0,H,0,0,D,18,20,7,6,22,9,5,4,1,0,0,0,,0
148,D2,2018-12-15,Paderborn,Dresden,3,0,H,0,0,D,19,11,7,5,12,14,3,3,2,1,0,0,,0
153,D2,2018-12-21,Sandhausen,Greuther Furth,0,0,D,0,0,D,13,4,4,1,17,14,2,0,3,2,0,0,,0
154,D2,2018-12-21,FC Koln,Bochum,2,3,A,1,1,D,17,9,8,5,20,19,8,1,3,4,0,0,,0
155,D2,2018-12-22,Bielefeld,Heidenheim,1,2,A,1,1,D,19,11,6,5,13,14,5,3,1,2,0,0,,0
156,D2,2018-12-22,Ingolstadt,Regensburg,1,2,A,1,1,D,10,9,3,3,12,25,5,3,2,1,0,0,,0
157,D2,2018-12-22,St Pauli,Magdeburg,4,1,H,1,1,D,7,16,6,7,10,12,2,6,3,3,0,0,,0
159,D2,2018-12-23,Duisburg,Dresden,1,3,A,0,2,A,15,15,3,6,16,21,3,4,6,4,0,0,,0
160,D2,2018-12-23,Erzgebirge Aue,Union Berlin,3,0,H,2,0,H,12,17,7,4,10,8,8,13,3,2,0,0,,0
161,D2,2018-12-23,Paderborn,Darmstadt,6,2,H,1,1,D,18,12,10,5,11,9,4,3,3,0,0,0,,0
162,D2,2019-01-29,Magdeburg,Erzgebirge Aue,1,0,H,1,0,H,10,9,5,1,13,15,4,3,3,3,0,0,,0
163,D2,2019-01-29,Bochum,Duisburg,2,1,H,2,0,H,19,18,5,8,11,10,8,3,1,3,0,0,,0
164,D2,2019-01-29,Darmstadt,St Pauli,2,1,H,0,1,A,13,9,4,5,10,8,2,3,1,1,0,0,,0
165,D2,2019-01-29,Greuther Furth,Ingolstadt,0,1,A,0,0,D,5,12,1,6,17,13,2,4,4,3,2,0,,0
166,D2,2019-01-30,Regensburg,Paderborn,2,0,H,0,0,D,12,9,6,0,22,8,3,6,2,1,0,0,,0
169,D2,2019-01-30,Heidenheim,Holstein Kiel,2,2,D,2,1,H,6,10,5,4,13,7,1,9,1,2,0,0,,0
173,D2,2019-02-02,Bielefeld,Hamburg,2,0,H,2,0,H,10,5,7,1,16,11,3,1,2,2,0,1,,0
174,D2,2019-02-02,Heidenheim,Dresden,1,0,H,1,0,H,15,19,3,2,15,12,7,2,3,4,0,0,,0
175,D2,2019-02-02,Paderborn,Greuther Furth,6,0,H,3,0,H,18,9,11,3,15,14,7,5,2,4,0,0,,0
176,D2,2019-02-03,Holstein Kiel,Regensburg,2,0,H,1,0,H,10,14,3,4,10,24,6,7,1,4,0,0,,0
177,D2,2019-02-03,Sandhausen,Bochum,3,0,H,0,0,D,11,15,4,4,18,16,4,5,2,3,0,1,,0
182,D2,2019-02-09,Union Berlin,Sandhausen,2,0,H,1,0,H,10,10,5,0,23,18,4,3,2,2,0,0,,0
183,D2,2019-02-09,Greuther Furth,Duisburg,1,0,H,0,0,D,20,16,7,3,19,16,5,6,1,3,0,1,,0
184,D2,2019-02-10,Darmstadt,Heidenheim,1,2,A,0,1,A,12,13,4,4,13,15,5,4,1,2,0,0,,0
185,D2,2019-02-10,Erzgebirge Aue,Ingolstadt,0,3,A,0,1,A,9,18,3,6,20,11,0,7,6,0,0,0,,0
186,D2,2019-02-10,Magdeburg,Holstein Kiel,1,1,D,1,1,D,15,11,9,5,18,13,11,8,3,3,0,0,,0
190,D2,2019-02-16,St Pauli,Erzgebirge Aue,1,2,A,1,1,D,13,16,3,4,12,17,7,1,1,4,0,0,,0
191,D2,2019-02-16,Duisburg,Union Berlin,2,3,A,1,1,D,10,18,4,3,15,15,3,6,4,2,0,0,,0
193,D2,2019-02-16,Heidenheim,Hamburg,2,2,D,1,1,D,15,15,7,4,16,15,8,4,0,3,0,0,,0
194,D2,2019-02-17,Holstein Kiel,Greuther Furth,2,2,D,0,0,D,17,8,5,5,16,15,14,10,1,2,0,0,,0
195,D2,2019-02-17,Bielefeld,Magdeburg,1,3,A,0,2,A,12,14,3,4,11,7,5,2,2,1,1,0,,0
196,D2,2019-02-17,Dresden,Regensburg,0,0,D,0,0,D,12,15,4,2,13,17,8,3,1,2,0,0,,0
199,D2,2019-02-23,Bochum,Holstein Kiel,1,3,A,0,3,A,7,14,2,8,14,19,6,9,0,3,0,0,,0
200,D2,2019-02-23,Darmstadt,Dresden,2,0,H,1,0,H,11,12,5,1,18,13,6,5,3,5,0,0,,0
201,D2,2019-02-23,FC Koln,Sandhausen,3,1,H,0,1,A,22,6,8,2,12,13,8,4,1,4,0,0,,0
202,D2,2019-02-23,St Pauli,Ingolstadt,1,0,H,0,0,D,8,11,3,0,19,13,5,3,0,0,0,0,,0
203,D2,2019-02-24,Magdeburg,Paderborn,1,1,D,1,0,H,10,13,2,3,8,13,3,5,2,2,0,0,,0
204,D2,2019-02-24,Regensburg,Hamburg,2,1,H,0,1,A,18,10,3,5,10,14,8,5,2,5,0,2,,0
205,D2,2019-02-24,Erzgebirge Aue,Duisburg,0,0,D,0,0,D,16,15,3,5,16,14,7,5,3,2,0,1,,0
212,D2,2019-03-03,Ingolstadt,FC Koln,1,2,A,0,1,A,13,8,1,4,15,26,4,3,3,4,0,0,,0
214,D2,2019-03-03,Bielefeld,Darmstadt,1,0,H,1,0,H,14,6,5,2,10,11,7,3,1,3,0,0,,0
216,D2,2019-03-08,Union Berlin,Ingolstadt,2,0,H,1,0,H,9,15,3,5,26,16,2,7,4,5,0,2,,0
